,ID_x,Neighborhood,FID,NAME_x,ST_ABBREV_x,OBJECTID,Mean_am_T_,Mean_am_HI,Mean_p2_T_,Mean_p2_HI,Mean_ev_T_,Mean_ev_HI,Shape__Area,Shape__Length,TC_ID_y,Existing Canopy,Possible Canopy Percentage,Possible Impervious Canopy Percentage
69,25025040300,Charlestown,75,250250403.0,MA,75,76.5344079009,77.7745457375,92.159105415,97.2877869212,85.873532518,91.6994321122,3020378.29077148,9829.254953813,75,16.8961092107,23.2979203831,17.9395927113
70,25025040401,Charlestown,76,250250404.01,MA,76,76.7586374113,77.9984591014,92.6521017879,97.8524459093,86.2050765745,91.6518263946,4602095.92773438,15172.8824913819,76,14.5072370269,34.8293915389,23.3051852849
71,25025040600,Charlestown,77,250250406.0,MA,77,76.584658813,77.8672560112,91.8717281071,96.8985777815,85.9681254831,91.2261296189,15287236.1882324,36500.5724356331,77,8.98095641917,49.4888138611,38.2893403764
72,25025040801,Charlestown,78,250250408.01,MA,78,75.9779798141,77.2515744095,91.6388614676,96.8319035693,85.7332521216,91.1228492126,9671724.37280273,40462.8148529035,78,8.97359810672,56.9862332166,48.9629489015
73,25025050101,East Boston,79,250250501.01,MA,79,75.7557464311,77.0134279793,91.4200782653,96.6331526137,86.2332455883,91.7741014043,3048957.68261719,12668.4396538764,79,13.4355679895,34.5582084594,27.8999626653
74,25025050200,East Boston,80,250250502.0,MA,80,76.2156817493,77.4742959148,91.6466579651,96.6623110492,86.1488248239,91.6398633991,2599617.74804688,9616.06075903805,80,14.9122746279,24.5734134998,19.6577921903
75,25025050300,East Boston,81,250250503.0,MA,81,75.7012630768,76.9908898203,91.5572575844,96.7964104603,85.6078728265,90.9648460984,3465762.8984375,17973.3051632814,81,10.8114179679,47.0959481247,39.841069477
76,25025050400,East Boston,82,250250504.0,MA,82,76.0810990176,77.3952737898,91.4952732358,96.8758669814,85.754394379,91.2532417022,1402123.49975586,5538.53296066283,82,12.8766093533,28.6753021861,21.5251091921
77,25025050500,East Boston,83,250250505.0,MA,83,76.6610585513,77.9129341548,91.8614994036,97.0522421009,86.0428963302,91.5975950036,1241595.39916992,4516.02661629805,83,12.5829078705,33.5538571943,24.9572926307
78,25025050600,East Boston,84,250250506.0,MA,84,76.4292074836,77.7013360489,91.680507189,96.9574579463,85.9938128089,91.5765604919,1819237.09790039,6444.8532232971,84,13.6934660937,30.6754330707,27.6242869189
79,25025050700,East Boston,85,250250507.0,MA,85,76.7513079958,78.0276107732,92.1535609124,97.377591895,86.1135961656,91.5533749322,2926548.05224609,8628.7847413676,85,17.3092799005,31.421200462,20.4365223096
80,25025050901,East Boston,86,250250509.01,MA,86,76.5428393539,77.8121409133,91.8566408757,96.8804209361,85.9987784067,91.2922007613,6388765.40185547,19024.9926369862,86,9.21453152718,49.2521892571,38.6637382545
81,25025051000,East Boston,87,250250510.0,MA,87,76.28717005,77.5170948858,91.5953683403,96.6623347727,85.327912021,90.6255235007,11167156.6181641,22131.8871905026,87,13.9831844663,52.8295810199,33.4818897785
82,25025051101,East Boston,88,250250511.01,MA,88,75.4840357915,76.6866738915,91.4903155026,96.6051457653,85.1741458272,90.3411217353,12581615.6525879,27755.4425352826,88,17.4192964786,44.7533261862,25.4269200842
83,25025051200,East Boston,89,250250512.0,MA,89,76.1289497053,77.4191043682,91.3871115389,96.7995982532,85.4887909695,90.7753173284,4077715.72314453,21063.2950139683,89,15.4241522149,50.0850492357,40.0115952791
84,25025060101,South Boston,90,250250601.01,MA,90,76.0037037993,77.255037036,91.2647643458,96.6477725677,84.9191429444,90.5284397741,3190226.25146484,8273.67567712762,90,13.1749386248,32.5173279803,24.8754002864
85,25025060200,South Boston,91,250250602.0,MA,91,75.9483286406,77.2185136892,90.9536325618,96.3451597678,84.4972458554,90.2401994125,1838924.21313477,7547.34138989375,91,14.8757665517,27.3198300956,17.7066719161
86,25025060301,South Boston,92,250250603.01,MA,92,76.1337394714,77.3748272487,91.4946169227,96.6769462984,85.1770586259,90.9878067006,2937606.70581055,8953.3889195385,92,16.7036020322,26.7087968126,19.9990195958
87,25025060400,South Boston,93,250250604.0,MA,93,76.1407625002,77.3610286833,91.6392263526,96.9774420083,85.2085287642,90.8800693607,4283823.73364258,9447.600248713,93,17.9737330054,28.2488895902,17.364644628
88,25025060501,South Boston,94,250250605.01,MA,94,76.37170456,77.5899677369,92.2150397025,97.5178397926,86.0405921108,91.6428622923,4441380.32226563,11531.835955725,94,13.1742676228,32.0866448882,21.2187707775
89,25025060600,Waterfront,95,250250606.0,MA,95,76.5632520604,77.9198616776,92.352182313,97.8283681363,86.7950738693,91.878892025,13222109.7973633,32372.2134968518,95,5.52719717024,37.1716385966,33.4586976741
90,25025060700,South Boston,96,250250607.0,MA,96,76.2767362868,77.5117498831,92.2809421844,97.5824848823,87.0022833908,92.2094275132,1391164.7199707,4787.33449852245,96,22.7161244596,33.0555088322,24.7958906414
91,25025060800,South Boston,97,250250608.0,MA,97,75.9740885137,77.2006967028,92.3333934474,97.3364397547,86.7097491977,92.1454457249,3663378.27758789,9407.37005176439,97,10.9397328308,24.1876129936,20.0095485824
92,25025061000,South Boston,98,250250610.0,MA,98,76.2159060076,77.4603088536,91.9309778082,96.7327311717,85.9229155899,91.4817992263,1884313.67016602,6043.41939940448,98,18.5622132533,27.7365154422,20.8622899402
93,25025061101,South Boston,99,250250611.01,MA,99,75.8800095739,76.9649854494,92.2214723502,96.712438896,85.6949377996,90.6485854294,1789458.2800293,6845.91696685567,99,33.6083502006,29.6098947954,17.3179037769
94,25025061200,South Boston,100,250250612.0,MA,100,76.8362218418,78.0925841984,92.3787250346,97.3309999534,86.456888475,91.7801137034,19804132.3417969,25462.8657920039,100,3.54083900372,38.9432899424,36.1423636248
95,25025070101,Downtown,101,250250701.01,MA,101,77.2112459556,78.7043354798,93.0391629712,98.5077471814,86.9624551974,92.233919831,10964656.635498,17765.246608112,101,5.46948650413,19.0641219353,14.8703182131
96,25025070200,Chinatown,102,250250702.0,MA,102,76.9959029236,78.3025095397,92.8067811736,97.9865661816,86.5789159988,91.7712509602,2866761.82910156,7723.89806777284,102,6.89461513856,17.6242579163,15.3245529185
97,25025070300,Bay Village,103,250250703.0,MA,103,77.0583398492,78.3340026037,92.9813000334,97.8482797023,86.2926771116,91.8195304336,3616992.25878906,9329.25474232423,103,15.4629512896,14.3832071503,12.0347760887
98,25025070402,South End,104,250250704.02,MA,104,77.3709572478,78.7686153618,93.6257169585,99.3397642878,87.4435987078,92.780593909,2885023.97094727,7577.76068042385,104,12.2731056067,21.0004517002,18.8262244003
99,25025070500,South End,105,250250705.0,MA,105,76.6332257993,77.9388434719,93.6419342505,99.3715087504,86.3821579959,91.8661521009,3187224.80834961,9294.10517090624,105,27.7971730125,21.2780209895,15.0519153278
100,25025070600,South End,106,250250706.0,MA,106,76.7463240274,78.066403678,94.0741480267,99.5772709403,86.3612375526,92.0345736307,1417903.67529297,5723.61563316216,106,27.8419950209,15.8521929855,13.6650610397
101,25025070700,South End,107,250250707.0,MA,107,76.7977953405,78.0856731524,92.63980184,97.2708027475,85.7000954694,91.4877631773,1768326.84912109,7313.51902857874,107,23.2919396915,13.4338098532,10.4186659896
102,25025070800,South End,108,250250708.0,MA,108,76.5993243127,77.888079425,93.2415634148,98.0230176893,85.6150587903,91.2789862818,2115387.66552734,6150.21065386573,108,25.3924500027,24.1178709112,17.703753253
103,25025070900,South End,109,250250709.0,MA,109,76.3986777319,77.6901421928,93.6704004073,99.4271958535,85.7581840098,91.3945360625,1794757.82910156,5697.74333818869,109,22.7262014274,21.2236058172,16.4094829339
104,25025071101,South End,110,250250711.01,MA,110,77.0517932842,78.3266464292,92.6750996629,98.2793785383,85.9764962123,91.3285810233,3932365.83276367,9398.26177537335,110,15.9997456991,26.5492898648,19.6750289267
105,25025071201,South End,111,250250712.01,MA,111,76.9984305833,78.2916092772,92.4861649716,98.2096925003,86.2370038126,91.5393323304,4335045.97924805,11174.9114541979,111,8.45664723217,38.0112454802,32.9435361557
106,25025080100,Roxbury,112,250250801.0,MA,112,77.3933708669,78.7058071512,92.3226386791,97.2382070392,85.1005682432,90.3953579207,11098072.6494141,18519.5629499394,112,7.05154740243,44.557118217,37.2414605923
107,25025080300,Roxbury,113,250250803.0,MA,113,76.2515108623,77.4416605954,91.9471172307,96.6615517113,84.7362977926,89.9043161764,2871226.97192383,8446.68956903221,113,23.3595360825,36.4062761215,23.1107202563
108,25025080401,Roxbury,114,250250804.01,MA,114,76.4563415503,77.6106506681,91.9240166704,96.0600568922,85.0603900731,90.3457863469,4732423.73071289,12614.8129210847,114,18.6450423296,37.7150501734,27.7987585116
109,25025080500,Roxbury,115,250250805.0,MA,115,76.1889774938,77.3277769628,91.6282059391,95.7045508439,84.9765241749,90.2343794114,2623445.60888672,8302.06204659516,115,23.0676603341,40.1357697015,25.3173251791
110,25025080601,Roxbury,116,250250806.01,MA,116,75.6126833616,76.7739200684,91.6403101377,95.8356580531,85.0741824827,90.2997164219,6016313.72753906,17159.6991493305,116,15.1758538385,41.6561342739,28.8480410082
111,25025080801,Mission Hill,117,250250808.01,MA,117,75.5848702187,76.750671273,91.6248726736,95.3602826684,85.0604293469,90.1171869272,3894605.7019043,8069.83055381861,117,19.257306117,40.2088903576,27.4904424843
112,25025080900,Mission Hill,118,250250809.0,MA,118,75.3698518695,76.5427313083,92.0486092312,96.4228382236,84.7938562273,89.6404790197,2794807.99145508,8162.35044182298,118,20.3724999928,30.7922378481,17.8850519108
113,25025081001,Mission Hill,119,250250810.01,MA,119,74.8412645904,76.0159581603,91.8120457551,95.714233557,84.9126027607,89.6020198139,6014355.81347656,17139.4025820902,119,14.7430975411,24.4132406964,18.0427134901
114,25025081100,Mission Hill,120,250250811.0,MA,120,74.1483431824,75.436189476,91.3399276887,95.8376363568,85.1540854329,90.0820460751,5343880.19848633,15831.5929228681,120,33.5694320027,29.6177203872,18.7692266811
115,25025081200,Jamaica Plain,121,250250812.0,MA,121,74.2053137697,75.4760105005,91.721015731,96.4705568102,85.0352937836,89.913474162,3045681.4140625,8009.1670235118,121,23.9486323454,34.8700376799,24.5847851298
116,25025081300,Roxbury,122,250250813.0,MA,122,74.6964490684,75.9554234694,92.1115785379,97.2441621867,85.225595562,90.1455432879,6183418.04931641,13416.3529581803,122,23.3873448379,37.850209287,25.6677503253
117,25025081400,Roxbury,123,250250814.0,MA,123,74.6463741775,75.9208585596,91.8770297705,96.8266379075,84.8533157809,89.9090619378,6696564.11865234,14900.0721408799,123,29.5881066495,31.603229441,17.3415276453
118,25025081500,Roxbury,124,250250815.0,MA,124,74.4795776399,75.786380274,91.6727780662,96.614687453,85.3849030855,90.3566808248,3625425.53613281,11646.3921103918,124,36.036590176,31.7556090906,16.0054161493
119,25025081700,Roxbury,125,250250817.0,MA,125,74.7419179148,76.0135787629,91.7639178592,96.703348633,85.1192307496,90.1461589505,6819314.82543945,11630.0151018161,125,27.5095570926,35.1469018508,19.6496815427
120,25025081800,Roxbury,126,250250818.0,MA,126,74.8224312281,76.1064852773,91.5158401522,96.2898696662,84.7237104145,89.6796629005,4019556.66992188,10170.0471682157,126,24.6480155721,33.9722194026,18.7945702645
121,25025081900,Roxbury,127,250250819.0,MA,127,74.7010420075,75.98921779,91.5956181932,96.4203835452,84.91918768,90.0065581993,4652563.06054688,11667.1101508335,127,25.8377359464,33.4479660573,15.4479058751
122,25025082000,Roxbury,128,250250820.0,MA,128,74.8090193827,76.088662193,91.1673474102,95.8232459371,84.9824358528,89.977361977,4220816.68505859,8531.55809671225,128,25.2549066993,32.3642661511,16.86080232
123,25025082100,Roxbury,129,250250821.0,MA,129,74.768135377,76.0367328771,91.7030365385,96.5525262664,84.5280546978,89.8950119923,3993523.00244141,8466.62342424858,129,23.7849757144,29.7880742332,15.7987650497
124,25025090100,Dorchester,130,250250901.0,MA,130,75.0275413084,76.2266177015,92.1699882327,96.9960445099,84.7406177223,89.9177423318,4812489.30517578,10535.1749120278,130,20.9322249616,30.4068704915,17.9860840546
125,25025090200,Dorchester,131,250250902.0,MA,131,74.7908442944,76.0258319527,93.179270675,98.3177329042,85.2153051154,90.0055776676,2934843.69067383,8051.25491515639,131,17.7174465626,37.849031428,28.3312934692
126,25025090300,Dorchester,132,250250903.0,MA,132,74.9700202078,76.1889844857,91.6733107082,96.346368861,85.0087947313,89.8507724378,4093513.55444336,9056.44433845365,132,20.351661506,36.9570958305,20.9516969286
